seed,intrinsic_dim,delta,ambient_dim,noise_sigma,observed_dim,model,train_accuracy,test_accuracy,generalization_gap,pca_explained_var,pca_total_var,pca_remaining_var,snr_proxy,nn_mean,far_mean,distance_contrast,best_val_accuracy,best_epoch
0,768,2.5,768,0.1,16,linear_svm,0.6275,0.625,0.0024999999999999467,77.76372371541595,1395.7788657304268,1318.015142015011,0.05900062999012973,3.141199344244043,8.08865460615056,1.5750211049076752,,
0,768,2.5,768,0.1,16,knn_k11,0.635,0.5,0.135,77.76372371541595,1395.7788657304268,1318.015142015011,0.05900062999012973,3.141199344244043,8.08865460615056,1.5750211049076752,,
0,768,2.5,768,0.1,16,mlp_base,0.6541666666666667,0.6333333333333333,0.02083333333333337,77.76372371541595,1395.7788657304268,1318.015142015011,0.05900062999012973,3.141199344244043,8.08865460615056,1.5750211049076752,0.6395833333333333,12.0
0,768,2.5,768,0.1,16,mlp_reg,0.6723958333333333,0.6333333333333333,0.0390625,77.76372371541595,1395.7788657304268,1318.015142015011,0.05900062999012973,3.141199344244043,8.08865460615056,1.5750211049076752,0.6729166666666667,9.0
0,768,2.5,768,0.1,16,mlp_wide,0.6651041666666667,0.6366666666666667,0.028437500000000004,77.76372371541595,1395.7788657304268,1318.015142015011,0.05900062999012973,3.141199344244043,8.08865460615056,1.5750211049076752,0.625,7.0
0,768,2.5,768,0.1,32,logreg,0.6695833333333333,0.6633333333333333,0.006249999999999978,149.1429079032601,1395.7788657304268,1246.6359578271667,0.11963629555753375,5.52905348099499,10.698922006513685,0.9350368093361874,,
0,768,2.5,768,0.1,32,linear_svm,0.6695833333333333,0.6616666666666666,0.007916666666666683,149.1429079032601,1395.7788657304268,1246.6359578271667,0.11963629555753375,5.52905348099499,10.698922006513685,0.9350368093361874,,
0,768,2.5,768,0.1,32,knn_k11,0.63625,0.5,0.13624999999999998,149.1429079032601,1395.7788657304268,1246.6359578271667,0.11963629555753375,5.52905348099499,10.698922006513685,0.9350368093361874,,
0,768,2.5,768,0.1,32,mlp_base,0.7239583333333334,0.6583333333333333,0.06562500000000004,149.1429079032601,1395.7788657304268,1246.6359578271667,0.11963629555753375,5.52905348099499,10.698922006513685,0.9350368093361874,0.63125,9.0
0,768,2.5,768,0.1,32,mlp_reg,0.7463541666666667,0.6416666666666667,0.10468749999999993,149.1429079032601,1395.7788657304268,1246.6359578271667,0.11963629555753375,5.52905348099499,10.698922006513685,0.9350368093361874,0.675,9.0
0,768,2.5,768,0.1,32,mlp_wide,0.7223958333333333,0.6466666666666666,0.07572916666666674,149.1429079032601,1395.7788657304268,1246.6359578271667,0.11963629555753375,5.52905348099499,10.698922006513685,0.9350368093361874,0.65,6.0
0,768,2.5,768,0.1,64,logreg,0.7220833333333333,0.7,0.022083333333333344,281.14660187874847,1395.7788657304268,1114.6322638516783,0.2522326071086706,8.751596532860667,13.63186171076054,0.5576428437457507,,
0,768,2.5,768,0.1,64,linear_svm,0.7191666666666666,0.695,0.02416666666666667,281.14660187874847,1395.7788657304268,1114.6322638516783,0.2522326071086706,8.751596532860667,13.63186171076054,0.5576428437457507,,
0,768,2.5,768,0.1,64,knn_k11,0.6266666666666667,0.4766666666666667,0.15000000000000002,281.14660187874847,1395.7788657304268,1114.6322638516783,0.2522326071086706,8.751596532860667,13.63186171076054,0.5576428437457507,,
0,768,2.5,768,0.1,64,mlp_base,0.8411458333333334,0.6816666666666666,0.15947916666666673,281.14660187874847,1395.7788657304268,1114.6322638516783,0.2522326071086706,8.751596532860667,13.63186171076054,0.5576428437457507,0.6708333333333333,16.0
0,768,2.5,768,0.1,64,mlp_reg,0.7708333333333334,0.6716666666666666,0.09916666666666674,281.14660187874847,1395.7788657304268,1114.6322638516783,0.2522326071086706,8.751596532860667,13.63186171076054,0.5576428437457507,0.6875,4.0
0,768,2.5,768,0.1,64,mlp_wide,0.7864583333333334,0.6766666666666666,0.10979166666666673,281.14660187874847,1395.7788657304268,1114.6322638516783,0.2522326071086706,8.751596532860667,13.63186171076054,0.5576428437457507,0.7041666666666667,5.0
0,768,2.5,768,0.1,128,logreg,0.7666666666666667,0.67,0.09666666666666668,498.42123918762417,1395.7788657304268,897.3576265428026,0.5554321091668465,13.566819276452872,18.588245839225873,0.3701255585742485,,
0,768,2.5,768,0.1,128,linear_svm,0.7641666666666667,0.6666666666666666,0.09750000000000003,498.42123918762417,1395.7788657304268,897.3576265428026,0.5554321091668465,13.566819276452872,18.588245839225873,0.3701255585742485,,
0,768,2.5,768,0.1,128,knn_k11,0.6191666666666666,0.475,0.14416666666666667,498.42123918762417,1395.7788657304268,897.3576265428026,0.5554321091668465,13.566819276452872,18.588245839225873,0.3701255585742485,,
0,768,2.5,768,0.1,128,mlp_base,0.95,0.6616666666666666,0.28833333333333333,498.42123918762417,1395.7788657304268,897.3576265428026,0.5554321091668465,13.566819276452872,18.588245839225873,0.3701255585742485,0.6916666666666667,14.0
0,768,2.5,768,0.1,128,mlp_reg,0.9536458333333333,0.6633333333333333,0.2903125,498.42123918762417,1395.7788657304268,897.3576265428026,0.5554321091668465,13.566819276452872,18.588245839225873,0.3701255585742485,0.7020833333333333,7.0
0,768,2.5,768,0.1,128,mlp_wide,0.90625,0.6533333333333333,0.2529166666666667,498.42123918762417,1395.7788657304268,897.3576265428026,0.5554321091668465,13.566819276452872,18.588245839225873,0.3701255585742485,0.6979166666666666,5.0
0,768,2.5,768,0.1,256,logreg,0.8483333333333334,0.7233333333333334,0.125,844.236242881631,1395.7788657304268,551.5426228487958,1.5306817785378604,20.200975313992434,24.989255578812728,0.2370321328744775,,
0,768,2.5,768,0.1,256,linear_svm,0.845,0.7316666666666667,0.11333333333333329,844.236242881631,1395.7788657304268,551.5426228487958,1.5306817785378604,20.200975313992434,24.989255578812728,0.2370321328744775,,
